cid,text,time,author,channel,votes,photo,heart
Ugz1ErmU089nZF1eSnZ4AaABAg,"Want me to make a Part-2 of this video? Do share like the video, it would indicate to me that you liked this content. 

►My LIVE Stock Market course, starts from March; last few seats are left: https://wisdomhatch.com/
____________________________________
Check out my smallcases (through MOBILE APP only):
►Akshat's GREAT Indian Monopolies - 
https://link.smallcase.com/qE6Zswafmjb
►Multibagger SmallCase - 
https://link.smallcase.com/ssZNTI8uajb
►Akshat's Consumer Durable - 
https://link.smallcase.com/iqfkxptLVib",1 month ago (edited),Akshat Shrivastava,UCqW8jxh4tH1Z1sWPbkGWL4g,197,https://yt3.ggpht.com/VI0OvMwpPQPFGoHAQOHsvtEcFWg-_YzFBhoeohr2CRz1T21Ja4unTGte1Gz6TnDUgVX9wcOG=s176-c-k-c0x00ffffff-no-rj,0.0
UgxfjnQX3wpV8qJtn_Z4AaABAg,"Sir this stock is trading at Rs 2500 plus..who can buy except rockefeller
Give us 2 rupees fundamentally strong stocks",2 weeks ago,Lbv Prasad,UC-4BKFGuisQ3e7HKb6OyIdg,0,https://yt3.ggpht.com/ytc/AKedOLSVwvOcIOQwB6XHBw7FFvThAVoIN608txQ-0A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwzMz2082Lwq1s-NWN4AaABAg,Help line above ✅✅,3 weeks ago,Akshat S +⑨①⑧④④⑦⑦①⑨⑦②⑦,UC_4cIFeXne-mV1xCENGnfzw,0,https://yt3.ggpht.com/-PTdCwJANJVwkUC3H74YmgOWX8muynMJJegKXwqXwxklOnSviFZtn9Kr7Pu5Km1eBKVdcsHq=s176-c-k-c0x00ffffff-no-rj,0.0
UgznPQ9czgYz-3OmqOp4AaABAg,thx for the video,3 weeks ago,Niharicka Kaul,UCYW_-cQ-o6v5XTxSTRkTiBA,3,https://yt3.ggpht.com/ytc/AKedOLTDcZuS-y6wOVxdbXrVPQjrl-ju0t0L7n3y=s176-c-k-c0x00ffffff-no-rj,0.0
UgwrOwMtdGy2MR1ORbt4AaABAg,Pls suggest mutual funds also,1 month ago,Lakshmi Kumari,UCtl8O_wc7Ofqt1W2hUJ7cHA,0,https://yt3.ggpht.com/ytc/AKedOLQqFoz1ezA7zqiN-UyOVq83_Q5R7fOKzGXx4A=s176-c-k-c0x00ffffff-no-rj,0.0
UgzkfXD2rv41NyuFkNB4AaABAg,Did you made hair transplant,1 month ago,Adarsh Shetty,UC63F3v6fo5X1kp7a7htRZxw,2,https://yt3.ggpht.com/ytc/AKedOLRPcOLNX7n0ma1s_mGWqQvI3k3CKol3VWh7IA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwFijYS3B3bRp2O6A94AaABAg,"I'm currently doing day trading and kept my self away from the investing due to the fear and lack of fundamental analysis. You have given the confidence to peep into the investment aspect as well. Macro and Micro analysis made simple for viewers. I wish more and more similar videos would be made, so as to help the enthusiastic and amateur investors. Great going. Thanks again. VS",1 month ago,ved s,UCNSuyJGbTF_gppxdbb4AuYA,0,https://yt3.ggpht.com/ytc/AKedOLQiSproA2JXR6B6iT2EhLYvZN5QzAZyjcfVzowY=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxr2okPYQFI483_ZYt4AaABAg,"Stock discuss are
CAMS
AMRUTANJAN
DEEPAK NITRATE",1 month ago,Knowledge & Ideas,UCpDK67OpLCtu4IvmmqRAexQ,1,https://yt3.ggpht.com/NAszSMRog4zUFExwHdYB5ZSrLqMxo6M8Byx31TH4pc-1Ei5_LEFj7rQPZIYB4vyVcMXKjqk0Pw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzYUiiAgO7PRh7J-vF4AaABAg,Cams is RTA it earns from Transaction charges not from AUM.,1 month ago,Hardik Manvar,UCVnGgqzuqsfwwAngGAnXDSA,0,https://yt3.ggpht.com/ytc/AKedOLSkKj7ZUKPelCfHQYjDDltot7xqPmR5xHjLlVRo=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw5G7B-Yjds6tJ4ME94AaABAg,"#Akshat , the Promoter Share holding is down by -7.21% in Computer Age.",1 month ago,Amol P,UCW93BteZqUe3AbwyvaoBF9Q,0,https://yt3.ggpht.com/ytc/AKedOLQSY8D3sAEce9k_lIoLPqEy8quuRGXZyzGiihI1fVyKpTZO4rX1zxNupdqVdv2c=s176-c-k-c0x00ffffff-no-rj,0.0
UgwbLP_x94pqUvK4gQV4AaABAg,Hey Akshat could you do an analysis of india pesticides?,1 month ago,pranay dharnidharka,UCUqC-juOO-Pf1jiKj1_K62w,1,https://yt3.ggpht.com/ytc/AKedOLTnD6kj-a5_DH2ujYOAJnkUrcoLRqmLkjMz-Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz2pr7VzNRxnsk0Hbd4AaABAg,"What website is being used in this video to see the share price, sales, etc info? I am wondering what website it is",1 month ago,Ayush Khamar,UCX5En5xZVH1o-ZkPtiEYBbA,0,https://yt3.ggpht.com/ytc/AKedOLTKE8SGv5pSVyCVQaGtso7ortDdzbVL5jNxU71D=s176-c-k-c0x00ffffff-no-rj,0.0
UgwM59p6yMKcSebODhh4AaABAg,"Hi Akshat, when you do reassess, please make a video on that analysis.
Thank you",1 month ago,deepak ratan,UCK-n7JqloUb-GoeUEHESZKA,0,https://yt3.ggpht.com/ytc/AKedOLT3PXszx6FU5M2q-K6LyOZNE0MKKJwd2H9t=s176-c-k-c0x00ffffff-no-rj,0.0
UgwPuIPL_yjCEIZNIRB4AaABAg,How can i invest in Russian sensex,1 month ago,harish agrawala,UCcU0mZP8KI2UH52w-gRr5sA,1,https://yt3.ggpht.com/ytc/AKedOLSdHjdz4dLy_Bkdqy-49bdhwMCblDlLglQ4wEmenw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzALZ2X5ho1T8vqE1Z4AaABAg,one thing I've understood .. they're are paid youtubers and also his money is stuck in this  stock.. They're will anything to be in profit . please go through your own analysis,1 month ago,NAVEEN VARSHNEY,UClLMqSLS_TTtcko0FHxhz8w,0,https://yt3.ggpht.com/ytc/AKedOLSLzIiI6AcIdDOKPMlm1zA3WOPGcdA22WkHcUCaXw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwfYxcHfzrhia-xnpp4AaABAg,Do you have any explanation for sudden fall in promoter holding.,1 month ago,kavindev,UCNBpwU2265MSNTZjbQ9XR0A,0,https://yt3.ggpht.com/TsAuS7mmeXtPAHuanymk5DVz_oJxrkgXAdYeBIjUbPweIzWeJWAq-CKgqYzsXGPkY_D_Gt5S48w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzXPF2xHE3iTZUYDHJ4AaABAg,"Hi Akshay
Thanks for your videos it really makes understanding things simpler especially for new people like us.
Just wanted to get ur opinion on the following stocks and is it the right time to buy these right away 
Adani power
Tata motors
Tech Mahindra
JSW Steel
Bajaj finance limited
Adani Ports
Bio con Ltd 
For the long term horizon",1 month ago,Ankit Agarwal,UCylfIFhMmGZmwIZg0CQwcLg,0,https://yt3.ggpht.com/ytc/AKedOLQHLuPOmVbEXGuCR8igBDyfgS9z6DV-QdZZdA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxrtDUYCBJxyM5k5-p4AaABAg,"hi,
please make part-2 video.  🙏",1 month ago,Santosh Kumar,UCUFKfifrU2G4rbpjZGSqVGg,0,https://yt3.ggpht.com/ytc/AKedOLT1sCl-EfsfKAnnAg8VgrBZNGWqiorlt4_mWg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwRb85ETa4sIPnx47N4AaABAg,I bought cams for 3700. I am in 5k loss,1 month ago,Salman Haider,UCwhLMCWP9m-fdMvxNKFPUQA,1,https://yt3.ggpht.com/ytc/AKedOLRJ0eSpGOTt1FSLrtx0Fg4U-ZmYPAev5QSTunb7VA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyyRa3h0AeHBZOniVx4AaABAg,Sir please do analysis of IOLCP stock,1 month ago,Max shaaz,UC87E6r4lmGxZXtQ99OHn71A,1,https://yt3.ggpht.com/ytc/AKedOLRwQ4L0vOfo7DQBdQxRQpQN9TCBQJnbmSuzIKi9oGk=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1ErmU089nZF1eSnZ4AaABAg.9YnGAo2gAx19YnK8YrBxgh,V Guard price has gone down below 52 weeks. What is your call.. should we accumulate it?,1 month ago,kut kiran,UCfAC6zPMX4Tj1BzZJ1Zj4AQ,2,https://yt3.ggpht.com/ytc/AKedOLTykD3_c7cHokjTsHAJKxKvRn36V7ak4IhIbw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1ErmU089nZF1eSnZ4AaABAg.9YnGAo2gAx19YnLgLI8pCA,"Trying to invest in crypto, but can't find a way to deposit INR via bank or  UPI, payment apps are charging a big amount. can you help me?",1 month ago,Indrajit Dutta,UC7eU3gpKFuqfzE_RHOwE_rQ,0,https://yt3.ggpht.com/ytc/AKedOLR7QoZ5HoCn1H6CowLEqFW3G6KBBAfOd5AT2FhAdw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1ErmU089nZF1eSnZ4AaABAg.9YnGAo2gAx19YnNL3wkFcE, @Indrajit Dutta  that’s a fake id don’t do any transaction,1 month ago,exodusmicky,UCw9FzYctgp2QJmTIeA2oFcg,1,https://yt3.ggpht.com/ytc/AKedOLSS3NtN8eGTC2vwovwg8yytOOhUWuUdVicP3w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1ErmU089nZF1eSnZ4AaABAg.9YnGAo2gAx19YnO1a98bGX,CAN u please make a video on SBI CARDS AND PAYMENTS?,1 month ago,Trendline ,UC6T0Mz6Hcy0ZFXjozhldtIA,0,https://yt3.ggpht.com/2HcDC3sAtPUaN79cyIEDpXU2zmMfc13VlJCDE7opJROoAgcqw0OAWbpBaLcmv5_7CBzhmoTskvI=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1ErmU089nZF1eSnZ4AaABAg.9YnGAo2gAx19YnOJJYePu3, @Trendline   it’s a fake is buddy don’t reply,1 month ago,exodusmicky,UCw9FzYctgp2QJmTIeA2oFcg,0,https://yt3.ggpht.com/ytc/AKedOLSS3NtN8eGTC2vwovwg8yytOOhUWuUdVicP3w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1ErmU089nZF1eSnZ4AaABAg.9YnGAo2gAx19YnQaDbv2aJ,Yes please,1 month ago,sumit rana,UCgrzK3mFaXDwMdGhXfYnqDw,0,https://yt3.ggpht.com/ytc/AKedOLRS7p9fGFtMxrfhRl7QzpCloK48YiRAyMi0ZYFh=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1ErmU089nZF1eSnZ4AaABAg.9YnGAo2gAx19YnR7XL63_9,Please give your comments on Mahanagar Gas,1 month ago,Gaurav Bagwe,UCQvkRongf5ALk3YmZxqzdxQ,1,https://yt3.ggpht.com/ytc/AKedOLSlu5ppJK678OD9HOIvmjazWxd0AUzypCkcYUqfJWw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1ErmU089nZF1eSnZ4AaABAg.9YnGAo2gAx19YnSX7FD6qg,"Sir
Sure we want",1 month ago,karthi.k Keyan,UCVRiXb8rSn-67ryWvqeqRKQ,0,https://yt3.ggpht.com/ytc/AKedOLS0vPBFRGcTSZpkucK94ZC1h0WVMcBDZM5xWtC8=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1ErmU089nZF1eSnZ4AaABAg.9YnGAo2gAx19YnVno3mbLt,Please do analysis about Rategain as well :),1 month ago,Tanmaya Tewari,UCw_x2qFWOwwhDe-1Dness4Q,0,https://yt3.ggpht.com/ytc/AKedOLQgtCnDBEOf4bIRwe_xpG5aExIx6FTf6G9iGg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1ErmU089nZF1eSnZ4AaABAg.9YnGAo2gAx19YnWUvF2rKB,Please do analysis on Piramal Enterprises,1 month ago (edited),Shital Mokashi,UC01j_gILANLBjdh1_uGcSqw,0,https://yt3.ggpht.com/ytc/AKedOLQCBkitGC5mqjf7gvLhvKBe22vN7c3iZl-giQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1ErmU089nZF1eSnZ4AaABAg.9YnGAo2gAx19YnYRPyqgo3,Be aware some fake id asking to whtsapp up for further details.,1 month ago,ganesh p,UC2kShYqZeV-HjrKlyWoO7IA,0,https://yt3.ggpht.com/ytc/AKedOLSdTJNrgHCEZhuJXrfp0KV4xD5jHPIUOX7O4wd22Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1ErmU089nZF1eSnZ4AaABAg.9YnGAo2gAx19YnZ0cSWo2N,"Really helpful when you talk about companies from this POV, would love to have a part-2!",1 month ago,Darshan Shah,UCZVpAqP-utdtf_SelGPWREQ,0,https://yt3.ggpht.com/ytc/AKedOLTZppF9ZQiqCkeB7OucUi14_OKuEjJ3OwBXX1lC4w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1ErmU089nZF1eSnZ4AaABAg.9YnGAo2gAx19YnZ2Z6bU_j,Gold is not rare. PLATINUM is also rare BUY PLATINUM sell gold.we get more platinum... GOVERNMEMT don't give any financial support we should manage our assets..we can buy again when gold PRICE decreases..[][][][],1 month ago,SYAM KUMAR KATURI,UC04fH6is3YUX0rIZLzHqNxA,0,https://yt3.ggpht.com/ytc/AKedOLQLOLmEMMIpBforCCZjD4z-h54uLe-S3DCUaA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1ErmU089nZF1eSnZ4AaABAg.9YnGAo2gAx19YnZjM9BY8W,Please share Top Mutual funds too,1 month ago,Mithun Dhar,UCNcqC8THMww1O_jr-h5_0EA,0,https://yt3.ggpht.com/ytc/AKedOLRd9saP6s72Ow4v4xJ1LV34qQLLq2mZDqBT7XzIGnU=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz1ErmU089nZF1eSnZ4AaABAg.9YnGAo2gAx19Yng0S2j0r1,Hi Akshat...Please go for the second part !,1 month ago,Ayush_svt007,UC_taKRo5LY9HGDPpWjAr52A,0,https://yt3.ggpht.com/ytc/AKedOLTkJRMI7RPzVeP2iqAcCAXxdKOu69M3XGRnpA=s176-c-k-c0x00ffffff-no-rj,0.0
