cid,text,time,author,channel,votes,photo,heart
UgzuDRNE97pxYqQprVV4AaABAg,Found it very useful. You have explained everything in simplified terms . Can understand easily.,1 year ago,Samanvitha Shetty,UCjvS3w26MSwTI_RukyJApbg,14,https://yt3.ggpht.com/ytc/AKedOLQ3xPAcQKCSvr4rOduEoYRubi_bvH02tQ40AA=s176-c-k-c0x00ffffff-no-rj,1.0
UgwJ9AgCu9Auqcbii7V4AaABAg,Thank you for this video 🙏…,8 days ago,Shobana Nadar,UCM6JzQd4lq_K_Gy1LH_IVYg,1,https://yt3.ggpht.com/ytc/AKedOLTO7w9mK-a9l15tfcIBvAVhgX29T-ufJVI1FA=s176-c-k-c0x00ffffff-no-rj,1.0
UgwkM12FYtZ_ME64FgJ4AaABAg,goood,4 weeks ago,Abdulhamid Omar,UCQTPTXvYLN4wKhm6Hg1huKw,1,https://yt3.ggpht.com/ytc/AKedOLQli25GHOXqf1Hv4ItRg29VbXJ74n7thyA0yBQg=s176-c-k-c0x00ffffff-no-rj,1.0
UgwrOZv0XN24Xd58pb14AaABAg,7:00,1 month ago,HaYleY WiLliaM,UCymrGTekKNFMYEE8YynCdhA,0,https://yt3.ggpht.com/BYCHwu3iasvltzdSDSsXiCrKC2BjmQbjgiiQQpF3L9c_i9DwBSI_cj3vPJ72xFIAn9WYYxbsfXY=s176-c-k-c0x00ffffff-no-rj,0.0
UgwdpM4BIa_F6aqMAyh4AaABAg,Easy and Helpful🤗,1 month ago,Sayana Ajayan,UCGL7RIAtgin7PsDQkh4pXTw,1,https://yt3.ggpht.com/ytc/AKedOLRalfiTVDb0oDpxY5-iMBzZDBHXeGbMKt8pur7rXGk=s176-c-k-c0x00ffffff-no-rj,1.0
UgyEXFQTtFuQJvgKZsx4AaABAg,i like it,2 months ago,Kevin Jeehun,UCWxGHO_Io5t19LLhWMhauOw,1,https://yt3.ggpht.com/ytc/AKedOLSoWL-DGsLf_9euTfS0Izi-jF7h7HBcTc-NrgPWcA=s176-c-k-c0x00ffffff-no-rj,1.0
UgyXjrYgww_wDFgU4Fd4AaABAg,Amazing video.  Very clean explanation.,2 months ago,ponmani palraj,UCySBGYIyGnZk9yQ6YVZSigw,1,https://yt3.ggpht.com/ytc/AKedOLR4bYYp05Y61_GI7nC4uE1kpqJCwW2PNQY8Xw=s176-c-k-c0x00ffffff-no-rj,1.0
UgwQW7tSYKfuS4sz51R4AaABAg,"Sorry if this sounds dumb. Relational database and non relational database (graph type) look same ?
Edit : thanks for awesome video.",2 months ago (edited),abhishek puthran,UCj9Jfi0wbpISuDXy9xvhM5w,0,https://yt3.ggpht.com/BNXXPTRtNmOplAylZhiZRH8BCtFUpixORv2ZIDKSTzPWL5rk0-oX-UED_3Q2ky8iy3FOWOMoRRE=s176-c-k-c0x00ffffff-no-rj,0.0
UgySvgAVLoWFO_vX9Tp4AaABAg,Thank you...leaned a lot,4 months ago,079- Revathy S,UCR69lH93yBaZJeI74vyO04w,1,https://yt3.ggpht.com/ytc/AKedOLSbKHT36grhQMFCBKIIIb5deFhyxSn4VEg7GTycPQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugw2utyZBedxOW4Ai_d4AaABAg,This Video really helps,4 months ago,kanaveni sambaraj,UCjrfuNPSTGht9izdpbZoWnA,1,https://yt3.ggpht.com/ytc/AKedOLQrq6JsBVvXQJW8_gLvoXeXXMSWcCHh6sGMgk4vz4w=s176-c-k-c0x00ffffff-no-rj,1.0
UgzHcrfNqt5WZX14lVR4AaABAg,your explanation method is Superb  sir can u make videos on complex joins and analytical,5 months ago (edited),Mushtak Khazi,UC4k9_RYUi-bB9nMmKPUM4dg,1,https://yt3.ggpht.com/ytc/AKedOLQS-d-dO7E-Jq3E8_KHxp78DrN_C-QlWRJeCeXYRkAswWWKzHGaWFlqsIVY22b5=s176-c-k-c0x00ffffff-no-rj,1.0
UgxiUSWsw_dGVD7w7Bt4AaABAg,No entendi un carajo,6 months ago,Antonio Mármol Crespillo,UCNj-AqunZv3NniwPL6UEj4w,1,https://yt3.ggpht.com/ytc/AKedOLTwOVpa_Bzss9n7xZ2GOKQGB17vFCKR95nmTdOGfF2jnIgH7KMNiexKrqhl94EN=s176-c-k-c0x00ffffff-no-rj,1.0
UgzK_S4Qi4RNHjaSdgN4AaABAg,Excellent content 🙏,6 months ago,Lar Grant,UCAM8DuHAgDgmo0QC3tkxIOQ,2,https://yt3.ggpht.com/ytc/AKedOLQSuxp9MGijYMQUYkHexj1tFqxMyYIHDTPsLXjuEA=s176-c-k-c0x00ffffff-no-rj,1.0
Ugyke0eb9n6nhUkuwMV4AaABAg,Om shanti k,6 months ago,Professor DR ABHIJIT SAYAMBER MD withme##Pulmonolo,UCjbQ6TUCRHWN-ybdMnqr_vA,1,https://yt3.ggpht.com/GdG3pBB4_POzbNUJ1ixLsnjo0djYkfqXeyU1j7mImBa5bHuMYn3DnfqdIIHZYLxG1zTS-Bt1xA=s176-c-k-c0x00ffffff-no-rj,1.0
UgyQlM9crcxwCZ7-D_R4AaABAg,"I loved the show references and the easy explanation, subbed and liked",7 months ago (edited),Mahmoud Mahmoud,UCt_7mkvMg7K7IWdQnBnB_4g,1,https://yt3.ggpht.com/ytc/AKedOLScCFqd-gEkqjDaoPG_4LgL5ayodXxDVuHNEAequw=s176-c-k-c0x00ffffff-no-rj,1.0
UgxXdPuhUUSra5HA1L94AaABAg,"Nice explaination these shows that 1M 1k subscribe never matter 
Soon you will get 1M subscribe Sir All the best make it video like this Sir Help the students who want to explaination  like this Sir .......
 Thank you Sir Super Sir ❤️❣️",8 months ago (edited),Supreeth D Raj,UCi0gCakb4c52VZBlFXLKgmg,2,https://yt3.ggpht.com/ytc/AKedOLRrwCtD4jKFUgrN02ASUcoc-USG3qGyNfsBEA=s176-c-k-c0x00ffffff-no-rj,1.0
UgxR9_ishKD86b0QVDp4AaABAg,It is a awesome Video That explains a rather hard topic with ease I have understood and I will recommend your channel to anyone who needs to Learn IT because you explain Very nicely!,8 months ago,Karandeep Singh,UCKRky9rCUhKCH5NNn-AHZGQ,4,https://yt3.ggpht.com/ytc/AKedOLSIcLIHqe2I-alrtkeSWJxTE6fhDElYCBxoUwj0h5c=s176-c-k-c0x00ffffff-no-rj,1.0
