cid,text,time,author,channel,votes,photo,heart
UgwcRl9FhRIJxBLIuxR4AaABAg,"how can I fix ""Error: Could not fork child process: Resource temporarily unavailable (-1).
DLL rebasing may be required; see 'rebaseall / rebase --help'.""?",2 months ago,Mohammed Kasim,UCL2lCa3Hwmapil0I5I9zckw,0,https://yt3.ggpht.com/ytc/AKedOLQR0TyygS8_GzGqujZ9jGHu7elIh9eKs7xE2l5k_A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8BWcbm4yQFLb27dJ4AaABAg,"Hi Tofique, I'm not able to install git on my Macbook air. when i past the homebrew link then appear for 'sudo' access
and then ask for password.
please me that how xan i install
Thankyou",2 months ago (edited),Md Masroor,UCQAu1sAAClzpJZWXIPvOsfw,0,https://yt3.ggpht.com/ytc/AKedOLTJH1o5xswFF4aczl4tmAdrGGHNsUlfJ0-Afe476Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgywIAjZxWbUOgWJtBh4AaABAg,Hi bro thank u for this tutorial is this enough to put git in my resume,3 months ago,Dilip Kumar S,UCVFYXHvXV2f4ffaB19GUKfg,1,https://yt3.ggpht.com/ytc/AKedOLQdV5RLSvlMAT9B4JkZySbaez5PQ7xRaDPmD2hzpg=s176-c-k-c0x00ffffff-no-rj,1.0
UgyFKDTc1j-arPEvRe14AaABAg,Great detailed explanation!,3 months ago,明月青山,UCO7htaAxJxyvP1sadRvDLEw,1,https://yt3.ggpht.com/ytc/AKedOLRsUDnjj5YG8LQ-IdgV2fzg3WvmxlK1Tp-j1A=s176-c-k-c0x00ffffff-no-rj,1.0
UgyXnxulQsjYdKZ4jiF4AaABAg,Your are really explaining the things very clear and crisp with real example.Which inspired me to learn new things.,3 months ago,Sakhawat Khan,UCxP0YCiIVNdW6B48gOmktuA,1,https://yt3.ggpht.com/ytc/AKedOLTQgwvRIAfu8bbuYKsR9iv73e-M3LOtpQ1EVMvoAg=s176-c-k-c0x00ffffff-no-rj,1.0
Ugy7vD9cKOeGSF9srlV4AaABAg,Thank you so much for making my learning so easy. Please teach us more.,3 months ago,yamini chakravarthy,UCUlGvRo75OCenWhLpoXkRPQ,1,https://yt3.ggpht.com/ytc/AKedOLSVaP4rUSLy6Q3K1HWdb51EsXBiY_kS3n2nYqQyKw=s176-c-k-c0x00ffffff-no-rj,1.0
UgznhJ48Hc2VuEF_PY54AaABAg,"Thankyou Toufiq  MashaAllah  your tutorials are very helpful, i am new yo programming  but its is easy to understand...please make more vedios on setp by step working on data visualization on R",3 months ago,Erum Ali Bhatti,UCd-o-Z9NxUaACmiNPJicqFA,1,https://yt3.ggpht.com/ytc/AKedOLTcCsil4DeRkoNr9HEMNGFsOpNYqDfFwq_vjQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugw37VrR_myA9WgS8uh4AaABAg.9_O9XPVk0DI9_ODHJpggvp,"Thanks Saransh.. 
Noted on the request",11 days ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyi4gC95IpeQqQnxIp4AaABAg.9_NDARjDJkO9_NPqNgChzP,This covers pretty much all important items.. of course I cannot cover each n every concept in 1 video but from this video u should be good enough to start using git comfortably for your job or project,11 days ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxjPYarFyKQov1encR4AaABAg.9_5lfaXmPIp9_B6cBWaL-m,glad you liked it,2 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgzqnFWq4jnK1TkYy_d4AaABAg.9ZlK7fMw6p99_BAPobcQDM,You are welcome bro,2 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgzqnFWq4jnK1TkYy_d4AaABAg.9ZlK7fMw6p99_CcLANIm1Q, @techTFQ  🥳,2 weeks ago,MILAN BARIYA,UCXTftW3JZfDYA0sI7zhXxQg,2,https://yt3.ggpht.com/ytc/AKedOLTFBkg55VA0V6PUJX6xOZ7shNvHDF23x7XcETAoZA=s176-c-k-c0x00ffffff-no-rj,1.0
UgwaaXJCvdvbKaCE5xR4AaABAg.9Zk2nzi-8LW9Zk7oe7UV0B,Your welcome bro and glad this helped,3 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz2geElwbVgja0k6ol4AaABAg.9ZhVpnBTphe9ZhXAQ03Xpf,"Yes that’s right .. similar to command prompt in windows, we have terminal in Mac OS..",4 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgzT12cAn7Y3S0oUxVh4AaABAg.9ZK6DDLjiO19ZKrGAZlc2J,Thank you Dipesh and noted on the suggestion,1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy5nVW1pV8T0JP8EnB4AaABAg.9YfZ9mLq7-r9YfafbOJ8N7,Thank you so much 🙏🏼,1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgzwEhlLL2aeBP0zoxx4AaABAg.9YL38I_ynT89Ys8QC8wIh5,"Exactly! having such a hard time following. 
I also couldn't find any other tutorial based on the Windows OS, starting to get very frustrated. 
I figured everything else out somehow but how do i run the written code from vscode? git bash doesn't seem to recognize ""python3""
Sorry if it seems like a rookie mistake or something but I am most definitely a rookie so.. would love an answer to that",1 month ago,Ammar Almeher,UCS7QWu3p_utWaMaRMIlU_9A,1,https://yt3.ggpht.com/ytc/AKedOLRhy26vmZ9K_KEMVEuLuoxPFRPdCQhBfxPJgeDxAg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwmusFFMn4DSjrF5hB4AaABAg.9Y8xo7fm4_G9Y923BDmI7V,Glad you liked it 🙏🏼,2 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
