cid,text,time,author,channel,votes,photo,heart
Ugz4XfzLom79EoQVonN4AaABAg,Real amazing content to learn SQL quires for an interview can you please solve more problems on Stratascratch for SQL and Python.,2 days ago,Sirvach Jumani,UCBDgPcU2NXQ6Fl-Yv3-7uLQ,0,https://yt3.ggpht.com/ytc/AKedOLQ5zptGixGW5dkFy7zTUaeMuYxru1okcP3TOylZUA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx5YadgO5O6I_DkN_54AaABAg,Thanks for educating us...Great way of explanation...,6 days ago,A K,UCwrQhvT_KXvWb5LAoEdAeeQ,1,https://yt3.ggpht.com/ytc/AKedOLTE6dO3RG5r4oBM4luQiGXr7S8MC6EBgYuKdgctTw=s176-c-k-c0x00ffffff-no-rj,1.0
UgxlKSYDBSNrEGRHFgx4AaABAg,sir how you shift  the written sub-query to right to make it look clean. what is the shortcut key?,11 days ago,shubhang shukla,UCtQ1gSrkvmEkBP_azKDn2UA,1,https://yt3.ggpht.com/ytc/AKedOLSbXC28daCN59y7mFDnTZ7-uUfYFy1N_y5yQATDQg=s176-c-k-c0x00ffffff-no-rj,1.0
UgzlyrIlxo899zlvtyJ4AaABAg,"Hi,
Did any one tried using MYSQL?
as I used the correct query but getting wrong result for user ID = 0

With Data As (
            Select PL.user_id, 
            Date(PL.timestamp) as ""Date"", 
            max(Date_Format(PL.timestamp, ""%T"")) as 'Load_Time',
            min(Date_Format(PE.timestamp, ""%T"")) as 'Exit_Time'
            from facebook_web_log PL
            Join facebook_web_log PE
                on PL.user_id = PE.User_id
                and Date(PL.timestamp) = Date(PE.timestamp)
                and Date_Format(PE.timestamp, ""%T"") > Date_Format(PL.timestamp, ""%T"")
            where PL.action = 'page_load'
                and PE.action = 'page_exit'
            Group by PL.user_id, 
            Date(PL.timestamp)
            )
            Select user_id, 
           Avg(TIMEDIFF(Exit_Time, Load_Time)) as Session 
            from Data
            Group by user_id;",2 weeks ago,prashant verma,UCI_fwuRO4dJ0mfBIM879dxg,0,https://yt3.ggpht.com/ytc/AKedOLQ3giRQ1uLZbU5vqmTS8Qg3ZG25pyJls66BEQOa_S0=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy7y1rDmrNsjjkvlyx4AaABAg,"Thank you for this techTFQ as I really needed to practice and bounce back as I just failed the interview, even when I was good in SQL sometime back.",2 weeks ago,prashant verma,UCI_fwuRO4dJ0mfBIM879dxg,1,https://yt3.ggpht.com/ytc/AKedOLQ3giRQ1uLZbU5vqmTS8Qg3ZG25pyJls66BEQOa_S0=s176-c-k-c0x00ffffff-no-rj,1.0
Ugw8GdsjE1jkk5o1Aqt4AaABAg,Good explanation .,3 weeks ago,juhair ahamed,UCzNxEr0GhmSbdPq_YQebihg,1,https://yt3.ggpht.com/ytc/AKedOLTy3OL1IE7Kbn5B_C7P2xTbeLs8g6jWAyMoJ7SmyRA2H5uzjgmF8FFb1xiPIVpP=s176-c-k-c0x00ffffff-no-rj,1.0
UgwY-dYLvLXFxStL5Vh4AaABAg,Great Content as always 🎉 ! Would love to see more from stratascratch,3 weeks ago,Prajwal Likhithapudi,UCijXwsm23CbB6JR2B6aFHtw,1,https://yt3.ggpht.com/ytc/AKedOLTzz1y82R336BduUpo7_2uJ7fSYpOWieBvMk2hQ7g=s176-c-k-c0x00ffffff-no-rj,1.0
UgwlkyV-zl7AjmiQ4gZ4AaABAg,"Hi Can you please provide the solution for Gender With Generous Reviews, I think I am stuck somewhere and not able to find out,  thanks for your videos they always help me a lot, keep up the good work",3 weeks ago,Tiwari Mrityunjai,UCLNr75EiI9MvetJzErO4D3w,0,https://yt3.ggpht.com/ytc/AKedOLRYrFMckWJtIHNQSOmV-Go1ccpOZp3q5XeKNAGEysk=s176-c-k-c0x00ffffff-no-rj,0.0
UgwK_kTIAlBA53Jl3sZ4AaABAg,Thanks for the tutorial,3 weeks ago,Sudhir Kumar,UC8IncJQXkWG03NwdUC3gGnA,1,https://yt3.ggpht.com/ytc/AKedOLT0rkOMZDx2Dckvb7dRVZECRhOmyotOnKFeHt68=s176-c-k-c0x00ffffff-no-rj,1.0
Ugzn2KbNRDa0VLgIy614AaABAg,Thank you for the useful videos. Could you please do a video with the new inbuild functions in the SQL server newer versions? It will be really helpful,4 weeks ago,priya dharshini,UC4CWyxupK3z5XFS94DUa6Ww,1,https://yt3.ggpht.com/ytc/AKedOLRQnFGs3CPW26GEmqaRSq54bf2NlP_3NYsC1OZoK2U=s176-c-k-c0x00ffffff-no-rj,1.0
UgxcvPzpbxzGygynk-F4AaABAg,"There are 8 IPL team. write a sql query that no team plays with other team more than once......
How to write this query ?",1 month ago,PRATYAKSHA PARASHAR,UCqHnZ3wYVh7ID4IDgqRQ0cw,1,https://yt3.ggpht.com/ytc/AKedOLTSlBHo2EzM5uQhRDkWxA0fq8-bajKW3wroOnZ3Dw=s176-c-k-c0x00ffffff-no-rj,1.0
UgzQDq2tArep1cMxKXZ4AaABAg,"Hi Bro... I have a doubt please clarify it , you have wrote the */ at the beginning and ending of the query to not to excute first query, what symbols are used in MS SQL to hide the one query where we have multiple queries as you done in the video.
Thank you",1 month ago,Hemanth Naidu,UCwXBUD29N8vorwjctWircxg,1,https://yt3.ggpht.com/ytc/AKedOLSFed-vRVC0cxB0eK2LDZg7Lg_vUEyzznoYO7Z2tA=s176-c-k-c0x00ffffff-no-rj,1.0
UgzBRbNhcr2krdqip2R4AaABAg,Loved the content ..thank you thoufiq bro..keep doing awesome videos..we always support you..😊👍,1 month ago,Bhanu Kiran,UC7DrLxmNkkZVeouaWoIpRKg,1,https://yt3.ggpht.com/ytc/AKedOLTnZpjMKu_Y60GcUkDRcfs0YcuVo1OffJ_BZ6yCAA=s176-c-k-c0x00ffffff-no-rj,1.0
UgyNGJ2RP6I_by91YZp4AaABAg,Are there any classes,1 month ago,moving cloud,UCK3AyvDezSGAnOPGL4tzrHg,1,https://yt3.ggpht.com/ytc/AKedOLS61cHACQxc_tJmBQtyRVEu7qdQv7s6VDI6zjDWlrYHkYrfEA12J_rARKXFOM6j=s176-c-k-c0x00ffffff-no-rj,1.0
UgwVj9IMGsDoWHbAo1N4AaABAg,superb!,1 month ago,shashank emani,UCX2Qc2I6kPkyH2iyK5Ta7Iw,1,https://yt3.ggpht.com/ytc/AKedOLQepJaTBbD52v2bbt7W31eATbaWKy7xIcpU7yzq374=s176-c-k-c0x00ffffff-no-rj,1.0
UgyP57ueOAteTj_nfhl4AaABAg,"I am learning SQL,you are the best.",1 month ago,wasdan wasdan,UCHYo4Nqhftg6ssvs8IJ3M0w,1,https://yt3.ggpht.com/ytc/AKedOLRQCo6Ummzt1AFdwF9MjoJlCq05f-apiJOSK_LRyQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgzESe1xoU6MOe-JjyR4AaABAg,Great content and thank you so much. I learned a lot. Hopefully you will continue uploading and sharing more complex queries. More power!,1 month ago,Pau B,UCu1Edp9cGkDX9zXXTT5qsfw,1,https://yt3.ggpht.com/ytc/AKedOLTLPs1G0LpNKrJbsJeOezlI3L_kCvNfKFEm0F97NQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgxTr3xujC0-e7qaH1F4AaABAg,You are awesome,1 month ago,Arun kumar,UCGzdHsSfBUo1sFry91FeBFw,1,https://yt3.ggpht.com/ytc/AKedOLS32t_SY3UOY8qbzD5cpCseak3y3tI0chxgXA=s176-c-k-c0x00ffffff-no-rj,1.0
Ugwl0wgSGgHhqTCnY-14AaABAg,I sir tq for your explanation it's great feeling,1 month ago,s s,UCVAPQDbuJG-Bn4RgMPAz_Nw,1,https://yt3.ggpht.com/ytc/AKedOLSudcXLdJPfihYxN-Stzl9fXTiwZKyhdOQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgwWbW7JOo9eXkxvXNx4AaABAg,Highly appreciating one ...please keep posting such content,1 month ago,abinash das,UCBKYcdcoCZUFFokxSzGbH0A,1,https://yt3.ggpht.com/ytc/AKedOLR3SG6-XQ0iGzzfM8-lV7uKX4p4EwOz140BSJtrzA=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx5YadgO5O6I_DkN_54AaABAg.9_bV_PanVJv9_cY-Od6uEH,Glad you liked it,5 days ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxlKSYDBSNrEGRHFgx4AaABAg.9_P6gPAtrGa9_PIriOiBz6,using TAB key bro,11 days ago (edited),techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxlKSYDBSNrEGRHFgx4AaABAg.9_P6gPAtrGa9_PLaZzHrMN, @techTFQ  thankyou sir 🙏,11 days ago,shubhang shukla,UCtQ1gSrkvmEkBP_azKDn2UA,1,https://yt3.ggpht.com/ytc/AKedOLSbXC28daCN59y7mFDnTZ7-uUfYFy1N_y5yQATDQg=s176-c-k-c0x00ffffff-no-rj,1.0
UgzlyrIlxo899zlvtyJ4AaABAg.9_7bEcx9J749_7cEcFpZOS,"just correct the query using :             SEC_TO_TIME(AVG(TIME_TO_SEC(TIMEDIFF(Exit_Time, Load_Time)))) as Avg_Session",2 weeks ago,prashant verma,UCI_fwuRO4dJ0mfBIM879dxg,0,https://yt3.ggpht.com/ytc/AKedOLQ3giRQ1uLZbU5vqmTS8Qg3ZG25pyJls66BEQOa_S0=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy7y1rDmrNsjjkvlyx4AaABAg.9_7A60McKCY9_B6Q2fgB-z,Glad it helped and good luck Prashant for the future interviews!,2 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8GdsjE1jkk5o1Aqt4AaABAg.9Zs6CZkkWJH9_B8CakSlkf,Thank you :),2 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgwY-dYLvLXFxStL5Vh4AaABAg.9ZpaxPSDJO29_B959vZ-at,Thank you and will do :),2 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgwK_kTIAlBA53Jl3sZ4AaABAg.9Zn6Ic3Yx8j9_B9jCEpLVZ,You are welcome :),2 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzn2KbNRDa0VLgIy614AaABAg.9ZbhG9qOiE59ZcIbm1_UV7,"Glad you liked it and noted on the request, will consider doing it",4 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxcvPzpbxzGygynk-F4AaABAg.9YzoxJ8crQO9Z1erSgQjHT,ill try to include this query as part of my sql query training class starting next week.,1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxcvPzpbxzGygynk-F4AaABAg.9YzoxJ8crQO9Zg77sH7U_L,"I just posted a video yesterday where I have solved this query. perhaps you can check it.
link below:
https://www.youtube.com/watch?v=aE623ff7zkM",4 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxcvPzpbxzGygynk-F4AaABAg.9YzoxJ8crQO9ZgH400iBUz, @techTFQ  Thanks a lot.,4 weeks ago,PRATYAKSHA PARASHAR,UCqHnZ3wYVh7ID4IDgqRQ0cw,0,https://yt3.ggpht.com/ytc/AKedOLTSlBHo2EzM5uQhRDkWxA0fq8-bajKW3wroOnZ3Dw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQDq2tArep1cMxKXZ4AaABAg.9YyYi_gispo9YykmqZ9Y1T,"/* this is comment */ 
the above is the way to comment a piece of query or code. And this will work is MSSQL, Oracle, PostgreSQL, MySQL etc.",1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQDq2tArep1cMxKXZ4AaABAg.9YyYi_gispo9YztOJMYGih, @techTFQ  thank you bro,1 month ago,Hemanth Naidu,UCwXBUD29N8vorwjctWircxg,1,https://yt3.ggpht.com/ytc/AKedOLSFed-vRVC0cxB0eK2LDZg7Lg_vUEyzznoYO7Z2tA=s176-c-k-c0x00ffffff-no-rj,1.0
UgzBRbNhcr2krdqip2R4AaABAg.9YwNtUBTeZW9YwWrryWJ-2,Thank you so much buddy 🙏🏼,1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNGJ2RP6I_by91YZp4AaABAg.9YsJG0KlTpu9Yt_fR1JPJ7,will come up soon. ill announce coming week,1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgwVj9IMGsDoWHbAo1N4AaABAg.9Yrb4Mtnckt9YrfEv8CqQa,Thank you 🙏🏼,1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
